Unnamed: 0,id,age,income,trip_frequency,travel_distance,g_per_km,trip_cost,travel_distance_exp,emissions_exp,age_exp,income_exp,gender_Male,reason_comfort,reason_safety,reason_travel time,reason_trip cost,reason_trip distance,reason_trip origin,status_Students,location_On campus,mode_transportation_Private,mode_transportation_Public Transport,mode_transportation_Taxi,mode_transportation_Walking,purpose_study,purpose_work,infrastructure_adequacy_yes,adoption_yes,adjusted_emissions
0,1,26-50,61k–80k,3,<=20,18.6,20,5,19.0,26,70,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,19.0
1,2,26-50,41k–60k,3,21-40,116.0,330,30,163.0,49,54,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,163.0
2,3,26-50,41k–60k,7,41-60,116.0,3020,54,168.0,31,53,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,168.0
3,4,<=20,21k–40k,5,21-40,18.6,60,24,20.0,20,24,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,48.0
4,5,<=20,≤20k,3,41-60,18.6,100,54,19.0,24,1,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,19.0
5,6,26-50,41k–60k,1,<=20,116.0,270,11,120.0,49,41,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,120.0
6,7,26-50,61k–80k,4,80+,173.0,1100,86,144.0,31,78,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,39.666666666666664
7,8,26-50,81k-100k,7,80+,18.6,200,95,13.0,43,92,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,34.333333333333336
8,9,51+,61k–80k,3,21-40,18.6,60,33,17.0,64,67,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,17.0
9,10,26-50,41k–60k,7,80+,116.0,5770,98,158.0,40,44,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,46.333333333333336
10,11,26-50,41k–60k,5,<=20,50.0,30,1,77.0,49,56,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,77.0
11,12,51+,41k–60k,1,21-40,0.0,0,29,0.0,61,52,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0.0
12,13,51+,81k-100k,3,<=20,18.6,20,4,19.0,67,83,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,19.0
13,14,<=20,21k–40k,7,<=20,0.0,0,15,0.0,20,37,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,0.0
14,15,26-50,41k–60k,3,21-40,173.0,330,24,150.0,40,42,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,150.0
15,16,<=20,21k–40k,4,21-40,18.6,60,34,12.0,22,21,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,12.0
16,17,26-50,41k–60k,1,21-40,116.0,330,25,141.0,30,41,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,141.0
