,id,age,gender,location,status,income,purpose,infrastructure_adequacy,trip_frequency,mode_transportation,reason,travel_distance,g_per_km,trip_cost,adoption
0,1,26-50,Male,Off campus,Staff,61k–80k,work,yes,3,Public Transport,safety,<=20,18.6,20,yes
1,2,26-50,Female,Off campus,Staff,41k–60k,work,yes,3,Private,comfort,21-40,116.0,330,yes
2,3,26-50,Female,Off campus,Staff,41k–60k,work,yes,Daily,Taxi,car ownership,41-60,116.0,3020,no
3,4,<=20,Male,Off campus,Students,21k–40k,study,yes,5,Public Transport,travel time,21-40,18.6,60,yes
4,5,<=20,Male,Off campus,Students,≤20k,both,no,3,Public Transport,travel time,41-60,18.6,100,no
5,6,26-50,Male,Off campus,Students,41k–60k,both,yes,1,Taxi,travel time,<=20,116.0,270,no
6,7,26-50,Male,Off campus,Staff,61k–80k,work,yes,4,Private,safety,80+,173.0,1100,yes
7,8,26-50,Female,Off campus,Staff,81k-100k,work,yes,Daily,Public Transport,trip cost,80+,18.6,200,no
8,9,51+,Male,On campus,Staff,61k–80k,work,yes,3,Public Transport,travel time,21-40,18.6,60,yes
9,10,26-50,Male,Off campus,Students,41k–60k,both,yes,Daily,Private,comfort,80+,173.0,1100,no
10,11,26-50,Male,On campus,Students,41k–60k,both,yes,5,Motorcycle,trip cost,<=20,50.0,30,no
11,12,51+,Female,On campus,Staff,41k–60k,both,yes,1,Walking,trip distance,21-40,0.0,0,no
12,13,51+,Female,Off campus,Staff,81k-100k,work,yes,3,Public Transport,trip cost,<=20,18.6,20,no
13,14,<=20,Male,On campus,Students,21k–40k,both,no,Daily,Walking,trip distance,<=20,0.0,0,no
14,15,26-50,Male,Off campus,Staff,41k–60k,work,yes,3,Private,car ownership,21-40,116.0,330,no
15,16,<=20,Male,Off campus,Students,21k–40k,study,yes,4,Public Transport,safety,21-40,18.6,60,yes
16,17,26-50,Male,Off campus,Staff,41k–60k,both,no,1,Private,travel time,21-40,173.0,330,no
17,18,26-50,Male,Off campus,Staff,81k-100k,work,no,3,Public Transport,safety,41-60,18.6,100,yes
18,19,<=20,Male,On campus,Students,≤20k,both,no,1,Public Transport,travel time,21-40,18.6,60,no
19,20,<=20,Male,Off campus,Students,≤20k,study,no,5,Private,comfort,80+,173.0,1100,no
20,21,26-50,Male,Off campus,Staff,61k–80k,work,yes,2,Private,car ownership,41-60,116.0,550,no
21,22,<=20,Male,Off campus,Students,≤20k,study,yes,5,Taxi,car ownership,<=20,116.0,270,no
22,23,51+,Male,Off campus,Staff,81k-100k,work,yes,4,Public Transport,trip cost,21-40,18.6,60,no
23,24,26-50,Male,On campus,Staff,>100k,work,yes,1,Walking,trip cost,21-40,0.0,0,no
24,25,51+,Male,Off campus,Staff,61k–80k,work,no,Daily,Public Transport,travel time,21-40,18.6,60,no
25,26,26-50,Female,Off campus,Staff,41k–60k,work,yes,1,Public Transport,trip cost,21-40,18.6,60,no
26,27,51+,Male,Off campus,Staff,81k-100k,work,no,5,Private,comfort,41-60,116.0,550,no
27,28,26-50,Male,Off campus,Students,≤20k,study,no,Daily,Public Transport,trip cost,21-40,18.6,60,no
28,29,26-50,Male,Off campus,Staff,61k–80k,work,yes,2,Public Transport,trip cost,21-40,18.6,60,yes
29,30,26-50,Male,Off campus,Staff,41k–60k,work,no,4,Public Transport,trip cost,21-40,18.6,60,yes
30,31,26-50,Male,On campus,Staff,61k–80k,work,yes,1,Public Transport,safety,<=20,18.6,20,yes
31,32,26-50,Male,Off campus,Students,≤20k,both,yes,3,Public Transport,trip cost,21-40,18.6,60,no
32,33,26-50,Male,Off campus,Students,21k–40k,both,no,Daily,Public Transport,safety,<=20,18.6,20,no
33,34,51+,Female,Off campus,Staff,61k–80k,work,yes,Daily,Private,car ownership,21-40,116.0,330,no
34,35,<=20,Female,Off campus,Students,21k–40k,study,no,4,Public Transport,trip cost,21-40,18.6,60,no
35,36,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,safety,80+,18.6,200,no
36,37,51+,Male,On campus,Staff,41k–60k,work,yes,Daily,Public Transport,travel time,21-40,18.6,60,no
37,38,26-50,Male,On campus,Staff,81k-100k,work,no,5,Public Transport,trip cost,61-80,18.6,140,no
38,39,26-50,Male,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,safety,<=20,18.6,20,no
39,40,26-50,Male,Off campus,Staff,41k–60k,work,yes,6,Public Transport,trip cost,<=20,18.6,20,no
40,41,51+,Male,Off campus,Staff,61k–80k,work,yes,6,Private,comfort,61-80,173.0,770,yes
41,42,<=20,Male,Off campus,Students,≤20k,study,no,Daily,Public Transport,safety,21-40,18.6,60,no
42,43,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Taxi,travel time,<=20,116.0,270,no
43,44,26-50,Female,On campus,Staff,61k–80k,work,no,3,Private,car ownership,21-40,173.0,330,yes
44,45,51+,Male,Off campus,Staff,81k-100k,work,yes,1,Public Transport,trip cost,21-40,18.6,60,yes
45,46,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,safety,61-80,18.6,140,no
46,47,26-50,Male,On campus,Staff,61k–80k,work,no,3,Motorcycle,trip distance,<=20,50.0,30,no
47,48,26-50,Male,Off campus,Staff,>100k,work,yes,Daily,Private,comfort,21-40,173.0,330,yes
48,49,51+,Male,Off campus,Staff,81k-100k,both,yes,5,Private,trip origin,41-60,116.0,550,no
49,50,26-50,Male,On campus,Students,≤20k,study,no,Daily,Walking,trip cost,41-60,0.0,0,no
50,51,51+,Female,Off campus,Staff,41k–60k,work,no,Daily,Private,comfort,61-80,116.0,770,no
51,52,26-50,Female,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,safety,<=20,18.6,20,no
52,53,51+,Female,On campus,Staff,61k–80k,work,yes,6,Public Transport,travel time,41-60,18.6,100,no
53,54,26-50,Female,Off campus,Staff,81k-100k,work,no,3,Public Transport,trip cost,61-80,18.6,140,no
54,55,26-50,Male,Off campus,Staff,81k-100k,work,no,4,Private,travel time,41-60,116.0,550,no
55,56,<=20,Female,Off campus,Students,≤20k,both,no,1,Public Transport,safety,61-80,18.6,140,no
56,57,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Public Transport,trip cost,80+,18.6,200,yes
57,58,26-50,Male,Off campus,Students,≤20k,both,no,Daily,Public Transport,trip cost,<=20,18.6,20,yes
58,59,26-50,Male,Off campus,Staff,41k–60k,work,yes,2,Taxi,safety,<=20,116.0,270,no
59,60,26-50,Male,Off campus,Staff,61k–80k,both,yes,2,Private,trip origin,61-80,116.0,770,no
60,61,<=20,Male,On campus,Students,41k–60k,both,yes,3,Public Transport,trip cost,<=20,18.6,20,no
61,62,<=20,Male,Off campus,Students,21k–40k,both,yes,Daily,Motorcycle,trip cost,<=20,50.0,30,no
62,63,26-50,Female,Off campus,Staff,61k–80k,work,yes,5,Public Transport,safety,21-40,18.6,60,no
63,64,<=20,Male,Off campus,Students,21k–40k,study,yes,Daily,Walking,trip cost,21-40,0.0,0,no
64,65,26-50,Male,On campus,Staff,>100k,work,yes,6,Public Transport,safety,<=20,18.6,20,yes
65,66,<=20,Male,Off campus,Students,≤20k,both,yes,Daily,Public Transport,trip cost,41-60,18.6,100,no
66,67,<=20,Male,Off campus,Students,≤20k,both,yes,2,Taxi,car ownership,<=20,116.0,270,no
67,68,51+,Female,Off campus,Staff,>100k,work,yes,Daily,Public Transport,travel time,<=20,18.6,20,no
68,69,26-50,Male,On campus,Staff,81k-100k,work,yes,1,Public Transport,trip cost,21-40,18.6,60,no
69,70,51+,Female,Off campus,Staff,41k–60k,work,yes,3,Public Transport,travel time,<=20,18.6,20,no
70,71,51+,Female,Off campus,Staff,61k–80k,work,yes,1,Public Transport,trip cost,61-80,18.6,140,no
71,72,51+,Male,Off campus,Staff,61k–80k,work,yes,1,Public Transport,trip cost,80+,18.6,200,no
72,73,26-50,Male,Off campus,Staff,41k–60k,work,no,4,Public Transport,travel time,41-60,18.6,100,yes
73,74,26-50,Female,Off campus,Staff,>100k,both,no,3,Public Transport,travel time,<=20,18.6,20,yes
74,75,51+,Male,Off campus,Staff,61k–80k,work,no,5,Private,travel time,21-40,173.0,330,yes
75,76,26-50,Female,Off campus,Staff,81k-100k,work,yes,Daily,Public Transport,travel time,<=20,18.6,20,no
76,77,26-50,Female,Off campus,Staff,41k–60k,work,yes,3,Public Transport,trip cost,21-40,18.6,60,no
77,78,<=20,Male,Off campus,Students,≤20k,study,yes,3,Public Transport,trip cost,21-40,18.6,60,no
78,79,26-50,Male,Off campus,Staff,41k–60k,work,no,1,Private,travel time,41-60,173.0,550,no
79,80,26-50,Male,Off campus,Students,21k–40k,study,yes,2,Public Transport,trip cost,<=20,18.6,20,no
